province,growth_rate_2010_2020,growth_rate_2020_2030
Beijing,4.1,1.1
Tianjin,5.6,2.1
Hebei,7.3,2.2
Shanxi,7.9,1.8
West Inner Mongolia,7.6,3.2
Shandong,6.3,2.3
Liaoning,6.34,2.58
Jilin,6.08,3.07
Heilongjiang,6.19,1.29
East Inner Mongolia,7.6,3.2
Shaanxi,6.2,4.1
Gansu,5.5,4.1
Qinghai,5.3,2.2
Ningxia,6,3.8
Xinjiang,8.1,5.6
Shanghai,4.8,1.2
Jiangsu,6,1.4
Zhejiang,6.2,1.5
Anhui,6.5,1.8
Fujian,6.5,2.3
Henan,6.9,1.8
Hubei,6.3,3.5
Hunan,6.3,3.3
Jiangxi,5.5,3.3
Sichuan,5.8,3
Chongqing,7,3.4
Guangdong,5.6,1.5
Guangxi,6.7,3
Yunnan,6.1,2.8
Guizhou,6.3,3.5
Hainan,8.1,3.2
Tibet,8.4,4.7
Hong_Kong,2.0,1
Macau,9.4,5
Taiwan,6.3,3
