project_name,dc_or_ac,province_start,province_end,voltage_kv,length_total_km,capacity_mw,commission_year
Jinping-Sunan,uhv_dc,Guizhou,Jiangsu,800,2100,7200,2012
Ningdong-Zhejiang,uhv_dc,Ningxia,Zhejiang,800,1700,7200,2012
Xiluodu-Zhejiang,uhv_dc,Yunnan,Zhejiang,800,1688,7200,2013
Hami-Henan,uhv_dc,Xinjiang,Henan,800,2400,7200,2014
Humeng-Shandong,uhv_dc,East_Inner_Mongolia,Shandong,800,1600,7200,2014
Mengxi-Jiangxi,uhv_dc,West_Inner_Mongolia,Jiangxi,800,1600,7200,2015
Jiuquan-Jiangsu,uhv_dc,Gansu,Jiangsu,800,2450,7200,2015
Zhundong-Henan,uhv_dc,Xinjiang,Henan,800,2800,7200,2015
Neimenggu-Shandong,uhv_dc,East_Inner_Mongolia,Shandong,800,1450,7200,2015
Hami-Shandong,uhv_dc,Xinjiang,Shandong,800,2700,7200,2016
Ximeng-Wuxi,uhv_dc,East_Inner_Mongolia,Jiangsu,800,1700,7200,2016
Ningdong-Shandong,uhv_dc,Ningxia,Shandong,660,1335,4000,2011
Tibet-Qinghai,uhv_dc,Tibet,Qinghai,660,1040,1500,2012
Menggu-Tianjin,uhv_dc,East_Inner_Mongolia,Tianjin,660,1260,4000,2011
Humeng-Tangshan,uhv_dc,East_Inner_Mongolia,Hebei,660,1400,4000,2012
Sichuang-Hunan,uhv_dc,Sichuan,Hunan,660,1400,4000,2014
Russia-Liaoning,uhv_dc,East_Inner_Mongolia,Liaoning,660,1400,4000,2015
Xiluodu-Hunan,uhv_dc,Sichuan,Hunan,660,1400,4000,2015
Shaaxi-Jiangsu,uhv_dc,Shaanxi,Jiangsu,660,1400,4000,2015
Nuozhadu-Guangdong,uhv_dc,Yunnan,Guangdong,800,1500,5000,2012
Xiluodu-Guangdong,uhv_dc,Sichuan,Guangdong,500,1286,6400,2013
Ximeng-Nanjing,uhv_ac,East_Inner_Mongolia,Beijing,1000,,5000,2015
Ximeng-Nanjing,uhv_ac,Beijing,Tianjin,1000,,5000,2015
Ximeng-Nanjing,uhv_ac,Tianjin,Shandong,1000,,5000,2015
Ximeng-Nanjing,uhv_ac,Shandong,Jiangsu,1000,,5000,2015
Zhangbei-Nanchang,uhv_ac,Hebei,Beijing,800,,4000,2015
Zhangbei-Nanchang,uhv_ac,Beijing,Hebei,800,,4000,2015
Zhangbei-Nanchang,uhv_ac,Hebei,Henan,800,,4000,2015
Zhangbei-Nanchang,uhv_ac,Henan,Hubei,800,,4000,2015
Mengxi-Changsha,uhv_ac,West_Inner_Mongolia,Shanxi,1000,,5000,2015
Mengxi-Changsha,uhv_ac,Shanxi,Hunan,1000,,5000,2015
Mengxi-Weifang,uhv_ac,West_Inner_Mongolia,Shanxi,800,,4000,2015
Mengxi-Weifang,uhv_ac,Shanxi,Shandong,800,,4000,2015
Jinzhong-Xuzhou,uhv_ac,Shanxi,Jiangsu,1000,,5000,2015
Yaan-Wannan,uhv_ac,Sichuan,Chongqing,800,,4000,2015
Yaan-Wannan,uhv_ac,Chongqing,Hebei,800,,4000,2015
Yaan-Wannan,uhv_ac,Hebei,Anhui,800,,4000,2015
Huainan-Suzhou-Huainan,uhv_ac,Anhui,Jiangsu,1000,,5000,2015
Huainan-Suzhou-Huainan,uhv_ac,Jiangsu,Shanghai,1000,,5000,2015
Huainan-Suzhou-Huainan,uhv_ac,Shanghai,Zhejiang,1000,,5000,2015
